id,dt,selic,idade,renda_mensal,score_interno,valor_solicitado,prazo_meses,taxa_mensal,parcela_mensal,pti,utilizacao_limite,atraso_antes_30d,atraso_antes_60d,canal,default_30p,ead,lgd,loss_if_default,profit_if_good
1,2019-01-01,6.922801327499022,28,22989.290279781922,501,67670.39758270986,24,0.01685709880884037,3451.698320248642,0.15014375294935747,0.9257242826371209,0,0,digital,0,47369.2783078969,0.5260845013862951,24920.243159638587,5475.487576729213
2,2019-01-01,7.454671618939095,36,5904.850436976179,604,17857.929517103992,48,0.014362821353285015,517.4686248404033,0.08763450156163387,0.12406748054384108,0,0,agencia,0,12500.550661972793,0.25,3125.1376654931983,2462.3064133797116
3,2019-01-01,7.073114029795178,28,4359.502224960493,621,15668.297239155012,48,0.014492094308161688,455.2811713300131,0.10443421010850361,0.4209394577615404,0,0,parceiro,0,10967.808067408509,0.5627933342018876,6172.609271143196,2179.8378358861805
4,2019-01-02,6.7085759781538545,52,3942.8894200972495,769,21863.63764351152,36,0.00807288643264091,702.2743028439525,0.1781115897555735,0.5349403346096601,0,0,agencia,0,15304.546350458062,0.5593270465967071,8560.246709704119,1270.8191786434647
5,2019-01-02,7.185134297910031,26,7359.874915535827,804,16496.526709279125,36,0.008,529.2038860375856,0.07190392392681819,0.31240593410137,0,0,digital,0,11547.568696495387,0.25,2886.892174123847,950.1999384544777
6,2019-01-02,7.749407132099112,30,3866.8448786965932,707,8997.923660568962,12,0.012486823415954806,812.0702707033221,0.21000849430946103,0.08305439011149877,0,0,agencia,0,6298.546562398273,0.31363575858849835,1975.4494291027609,269.65316126343913
7,2019-01-02,7.447008897671036,58,2967.99955966042,725,12370.375462966862,36,0.01203595852352823,425.45751894295427,0.14334824193559936,0.2688531094223148,0,0,digital,0,8659.262824076803,0.25,2164.8157060192007,1072.0031471477314
8,2019-01-03,7.991982474191636,20,5495.701534725341,686,13929.134550141682,36,0.012002249257311234,478.7937034587607,0.08712148948290538,0.2527615443727133,0,0,agencia,0,9750.394185099176,0.7850432136762775,7654.480785680746,1203.702802627869
9,2019-01-03,7.347779744973413,43,5471.673581478208,703,11992.267798106262,36,0.014621469781839563,430.8214621702284,0.07873668919662405,0.20763726679604794,1,0,agencia,0,8394.587458674383,0.4205997195656015,3530.761130987361,1262.4809848253162
10,2019-01-03,8.142480157887091,58,4396.840920170097,624,23178.930997325377,24,0.01486123255446467,1155.323216763889,0.26276211437715463,0.44995741885047624,0,0,parceiro,0,16225.251698127762,0.26425788513472465,4287.650699525842,1653.4439227926823
11,2019-01-03,7.347881623060542,43,3339.486576848454,706,20069.724145802014,36,0.010165040025853724,668.5020573632585,0.20018108831392228,0.5915822921397145,0,0,digital,0,14048.80690206141,0.398086591904204,5592.641659961884,1468.868754599427
12,2019-01-03,7.293617297783381,19,4463.811820457706,567,31171.22693073899,48,0.015501642209732078,925.4889867880818,0.20733154174343865,0.6696197039650248,0,0,agencia,0,21819.858851517292,0.7386869415486583,16118.04480005073,4638.769988339336
13,2019-01-03,6.83796266335705,27,4264.721698614653,812,21131.806879526477,48,0.008,531.906976427245,0.12472255261111856,0.05391675144253915,0,0,digital,0,14792.264815668534,0.553858184511656,8192.81693562182,1622.9227683476336
14,2019-01-03,7.674446153232043,74,3935.017683719825,441,18959.25010150798,36,0.018242472319394284,722.9933717649458,0.18373319508986055,0.21886366808076918,0,0,agencia,0,13271.475071055585,0.25774359945175895,3420.637754848155,2490.217885247275
15,2019-01-03,7.110005399000406,62,6574.0931021568795,708,18357.19462046094,48,0.010287394663598593,486.5295981321748,0.0740071049454031,0.27731541327228476,0,0,agencia,0,12850.036234322659,0.5145733024344139,6612.285581497291,1812.9379773808384
16,2019-01-04,7.059282520336519,38,20368.280796224546,733,42412.871745470766,36,0.011973657973702105,1457.1716497333641,0.07154121962043378,0.7034382749626505,0,0,parceiro,0,29689.010221829532,0.496630379458963,14744.464412228232,3656.4279837318772
17,2019-01-04,7.734179891446474,68,12124.041674396563,724,39433.85219154219,24,0.010984912087155888,1878.1280842644726,0.15490940518875695,0.5732506340845588,0,0,digital,0,27603.69653407953,0.25,6900.924133519882,2079.251517993554
18,2019-01-04,7.691127128208159,18,17271.88249407735,596,51780.13674991496,24,0.017190240388925332,2651.3117124338974,0.15350450151238876,0.5176576655090879,1,0,digital,0,36246.09572494047,0.3483470812009046,12626.221650711597,4272.542390891832
19,2019-01-04,7.681967172653311,20,4028.9493650232594,475,15078.82809162901,48,0.02392461502710883,531.6695168157056,0.13196232284061885,0.38549043403707584,1,0,agencia,0,10555.179664140305,0.3131447135513054,3305.29871240978,3463.24950866091
20,2019-01-04,7.15898229721033,69,14791.989370318357,756,45323.607522402686,24,0.008649786900705256,2099.407336100316,0.14192866716852787,0.19714923298358153,0,0,digital,0,31726.525265681877,0.5730052720703174,18179.466241707843,1881.7898238719276
21,2019-01-05,7.2679076412727355,57,6389.056284878258,792,16761.528537283033,48,0.008,421.90305899506603,0.06603527034088498,0.7618927186306023,0,0,digital,0,11733.069976098122,0.5859926625060098,6875.492914663063,1287.285391663337
22,2019-01-05,7.264800154936026,52,9923.021116230586,714,33343.358613354234,36,0.012535386776754146,1156.5519708222575,0.11655240448199225,0.274934504251955,0,0,parceiro,0,23340.351029347963,0.47614494176968036,11113.390081752785,3009.3976559117673
23,2019-01-05,7.559630557364913,37,7302.6324548902685,756,10275.69029498894,12,0.011331545081631056,920.6814005219431,0.12607527575968872,0.1950268623621548,0,0,digital,0,7192.983206492258,0.3392913506714452,2440.5169874877815,279.4546747741102
24,2019-01-06,7.829496828102554,65,4589.043489821888,644,17423.411879419225,24,0.012534224686375566,845.1428584558194,0.18416536263608638,0.24219209779492593,0,0,agencia,0,12196.388315593456,0.45917785427988117,5600.311416718418,1048.2670046395474
25,2019-01-06,7.414600488449016,53,8500.076951157202,693,31835.953158345572,24,0.011217193989487114,1520.4364859374725,0.17887326134506112,0.143032119778342,0,0,agencia,0,22285.1672108419,0.5170392678751442,11522.306539168865,1714.1282996034588
26,2019-01-06,7.976961074004649,43,7418.8667680673225,791,50072.65596354149,36,0.011079212429993058,1694.2706274906682,0.2283732381855457,0.5785030505648843,0,0,agencia,0,35050.85917447904,0.5132388107427823,17989.461278222363,3994.3122649490515
